page,position_on_page,title,card_url,price,rating,date,views,downloads,comments,author,preview,tags,source_page_url
1,1,Универсальная обработка для загрузки данных из Экселя в табличную часть документа,https://infostart.ru/1c/tools/15879/,,546,30.05.2008,51992,11287,85,ОбнажЁнная_Маха,Загружает данные из Экселя в табличную часть документа (БЕЗ ПАРОЛЯ).,Загрузка и выгрузка в Excel | Бухгалтер | 1С:Предприятие 8 | 1C:Бухгалтерия | Россия | Бесплатно (free),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,2,[MXLtoXLS] Сохранение больших таблиц в EXCEL,https://infostart.ru/1c/tools/14186/,,199,09.07.2006,66270,10777,152,CheBurator,"(скачать и использовать можно бесплатно, т.е. ДАРОМ) Сохранение больших таблиц 1C в XLS - проблема известная: 1С задумывается надолго, и если таблицу в 5000 строк еще реально дождаться, то больше - уже ''Изя - все!''. Данная обработка представляет собой ''обертку'' для подмены МЕДЛЕННОГО интерактивного сохранения MXL в XLS БЫСТРЫМ программным сохранением. 50 000 строк сохраняются за 3 секунды...",Загрузка и выгрузка в Excel | Работа с интерфейсом | Разработка внешних компонент | Оперативный учет 7.7 | Бухгалтерский учет 7.7 | Расчет 7.7 | 1C77 | Бесплатно (free),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,3,"Импорт файлов типов XLS, DBF, и TXT в табличное поле (Простой читальщик xls файлов)",https://infostart.ru/1c/tools/15442/,,101,11.01.2008,35181,8658,37,Шёпот теней,"Отчёт предназначен для чтения файлов *.xls, *.dbf и *тхт с разделителями в табличное поле данного отчёта для последующей обработки.","Загрузка и выгрузка в Excel | Файловый обмен (TXT, XML, DBF), FTP | Программист | 1С:Предприятие 8 | 1C:Бухгалтерия | Бесплатно (free)",https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,4,Импорт справочников из MS Excel,https://infostart.ru/1c/tools/14613/,1 стартмани,182,05.02.2007,34812,8642,92,PowerBoy,Импорт справочников из MS Excel,Загрузка и выгрузка в Excel | Программист | 1С:Предприятие 8 | 1C:Бухгалтерия | Россия | Абонемент ($m),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,5,"Импорт из EXCEL и других источников (xls, xlsx, xlsb, ods, sxc, dbf, mxl, csv, clipboard, sql) в 1С",https://infostart.ru/1c/tools/120961/,1 стартмани,601,16.03.2012,484940,7830,736,StepByStep,"-Наглядная, контролируемая загрузка иерархической номенклатуры с различными атрибутами и картинками из прайсов, файлов табличного вида xls,xlsx,xlsb,ods,sxc,dbf,mxl,csv произвольной структуры по указанному диапазону строк, а также из буфера обмена и внешнего SQL-источника данных в основные, дополнительные и пользовательские реквизиты. -Вариантный поиск номенклатуры. -Создание сопутствующей справочной информации. -Создание документов в национальной/иностранной валюте. -Обычное и управляемое приложение. Файл и Клиент-Сервер.",Загрузка и выгрузка в Excel | Системный администратор | Программист | Бухгалтер | Руководитель проекта | 1С:Предприятие 8 | 1С:Комплексная автоматизация 1.х | 1С:Бухгалтерия 2.0 | 1С:Управление торговлей 10 | 1С:Розница 2 | Беларусь | Украина | Россия | Бухгалтерский учет | Абонемент ($m),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,6,Загрузка из Excel,https://infostart.ru/1c/tools/14746/,1 стартмани,185,16.04.2007,28389,7636,114,Кузьмич,"Обработка позволяет загружать Справочники и Документы из файла Excel в любую конфигурацию. (Например, если есть чей-то ручной труд, и его понадобилось занести в БД. Либо есть большая Приходная накладная, а вводить ручками Номенклатуру - лень). Однако, не считаю, что данная разработка универсальна. Описание и скриншоты прилагаются.",Загрузка и выгрузка в Excel | Оперативный учет 7.7 | Бухгалтерский учет 7.7 | Расчет 7.7 | 1C77 | Россия | Абонемент ($m),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,7,"Загрузка данных из табличного документа в справочники, документы, планы видов характеристик, планы видов расчетов, планы счетов, бизнес-процессы, задачи, в движения документов, поточная загрузка документов (EXCEL, управляемые формы, универсальная)",https://infostart.ru/1c/tools/284674/,4 стартмани,423,30.05.2014,283719,5056,820,qwinter,"Обладает уникальным функционалом. Позволяет загружать в справочники, табличные части, регистры сведения, движения документа, поточно загружать документы, а также одновременно загружать в справочники, являющиеся реквизитами загружаемых объектов, с полноценной настройкой. Обработка на управляемых формах, работает на всех версиях 1С предприятия 8.2 и 8.3",Загрузка и выгрузка в Excel | Программист | Пользователь | 1С:Предприятие 8 | 1C:Бухгалтерия | 1С:ERP Управление предприятием 2 | 1С:Управление торговлей 11 | Абонемент ($m),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,8,MiracleV8: Расширенная версия,https://infostart.ru/1c/tools/59436/,,269,24.10.2009,79940,4845,350,Abadonna,Универсальная компонента для 1С 7.7 и 1С 8.x,Разработка внешних компонент | Загрузка и выгрузка в Excel | Программист | Россия | Бесплатно (free),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,9,[XLStoMXL] Конвертер документов MS Excel 2000 в формат табличного документа 1С:Предприятия,https://infostart.ru/1c/tools/14463/,,300,31.10.2006,37194,4800,49,Robert,"Если вам приходилось рисовать в табличном редакторе 1С:Предприятия формы отчетности вроде Декларации по налогу на прибыль организаций, то вы знаете, как это нудно. Мне это приходится делать регулярно, т.к. в моей фирме не используют стандартные формы отчетности от 1С. Еще больше это раздражает, когда такая форма уже существует в формате Excel. Если ситуация вам знакома, то эта страница для вас.",Загрузка и выгрузка в Excel | Программист | 1С:Предприятие 8 | Россия | Бесплатно (free),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,10,"Чтение/Запись документа Excel 2007 без офиса, без внешних компонент. (с примером для 7.7, 8.1 и 8.2 на управляемых формах)",https://infostart.ru/1c/tools/19139/,,229,24.02.2009,73875,4610,78,Душелов,"Чтение/запись документ Excel 2007 без установленного Excel'а, без внешних компонент, исключительно средствами 1С (7.7, 8.1, 8.2 на управляемых формах).",Загрузка и выгрузка в Excel | Программист | 1С:Предприятие 8 | 1C:Бухгалтерия | 1C77 | Бесплатно (free),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
